Package_Name,IO_Operations,File_Operations,Network_Operations,Time_Operations,Security_Operations,Process_Operations,Read_Processes,Write_Processes,Read_Data_Transfer,Write_Data_Transfer,File_Access_Processes,Total_Dependencies_List,Direct_Dependencies_List,Indirect_Dependencies_List,Root_DIR_Access,Temp_DIR_Access,Home_DIR_Access,User_DIR_Access,Sys_DIR_Access,Etc_DIR_Access,Other_DIR_Access,Local_IPs_Access,Remote_IPs_Access,Local_Port_Access,Remote_Port_Access,Total_Dependencies,Direct_Dependencies,Indirect_Dependencies,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Level
PqTorch-1.0.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, pgrep, tcpstates-bpfcc, pip, filetop-bpfcc","opensnoop-bpfcc, strace, StreamTrans, pip, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pip, pgrep, tcpstates-bpfcc","opensnoop-bpfcc, StreamTrans, strace, pip, rootkit","pgrep, pip, opensnoop-bpfcc, sqldb:c~lite, StreamTrans",PqTorch-1.0.0;,,,1,150,2196,2671,142,840,11213,15,1057,1006,225,4,4,0,newfstatat -> openat -> fstat,fstat -> ioctl -> lseek,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,newfstatat -> newfstatat -> openat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,openat -> fstat -> ioctl -> no-error -> no-fd,0
PyGacme-1.0.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, tcpstates-bpfcc, filetop-bpfcc, pgrep, systemd-logind","opensnoop-bpfcc, strace, StreamT~ns, pip, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pip, tcpstates-bpfcc, pgrep","strace, opensnoop-bpfcc, StreamT~ns, pip, sqldb:c~lite","pip, pgrep, gnome-system-mo, opensnoop-bpfcc, systemd-logind",PyGacme-1.0.0;,,,1015,166,6496,3810,419,1115,3182,4,48,124,15,0,0,0,newfstatat -> openat -> fstat,openat -> fstat -> fcntl,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,ioctl -> ioctl -> ioctl -> no-error -> no-fd,openat -> fstat -> fcntl -> no-error -> no-fd,0
PyToich-1.0.0.tar.gz,"ioctl, poll",,uname,,geteuid,getpid,"opensnoop-bpfcc, pgrep, filetop-bpfcc, tcpstates-bpfcc, pool-tracker-mi","opensnoop-bpfcc, strace, pool-tracker-mi, StreamTrans, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pip, pool-tracker-mi, gnome-system-mo","pool-tracker-mi, StreamTrans, strace, opensnoop-bpfcc, pip","gnome-system-mo, pgrep, pool-tracker-mi, pip, sqldb:c~lite",PyToich-1.0.0;,,,515,140,5497,2514,643,616,4898,2,32,137,13,0,0,0,openat -> fstat -> ioctl,ioctl -> lseek -> lseek,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,fstat -> ioctl -> lseek -> no-error -> no-fd,openat -> fstat -> ioctl -> no-error -> no-fd,newfstatat -> openat -> fstat -> error=ENOENT -> no-fd,ioctl -> lseek -> lseek -> error=ENOTTY -> no-fd,1
PyTorchc-1.0.0.tar.gz,"ioctl, poll",,uname,,,getpid,"tracker-miner-f, pool-tracker-mi, opensnoop-bpfcc, filetop-bpfcc, pgrep","opensnoop-bpfcc, pool-tracker-mi, strace, StreamTrans, pip","opensnoop-bpfcc, filetop-bpfcc, tracker-miner-f, pool-tracker-mi, pip","pool-tracker-mi, opensnoop-bpfcc, strace, StreamTrans, pip","pool-tracker-mi, pgrep, tracker-miner-f, pip, gnome-system-mo",PyTorchc-1.0.0;,,,515,141,10385,2277,530,579,3741,2,23,101,8,0,0,0,newfstatat -> openat -> fstat,close -> newfstatat -> newfstatat,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> newfstatat -> openat -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,close -> newfstatat -> newfstatat -> no-error -> no-fd,0
PyTordh-1.0.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","pool-tracker-mi, tracker-miner-f, opensnoop-bpfcc, filetop-bpfcc, tcpstates-bpfcc","opensnoop-bpfcc, pool-tracker-mi, strace, StreamTrans, sqldb:c~lite","opensnoop-bpfcc, pool-tracker-mi, tracker-miner-f, filetop-bpfcc, pip","pool-tracker-mi, StreamTrans, strace, opensnoop-bpfcc, firefox","pool-tracker-mi, gnome-system-mo, single, pip, tracker-miner-f",PyTordh-1.0.0;,,,0,115,1881,1271,1050,266,5616,2,70,186,21,0,0,0,ioctl -> ioctl -> ioctl,lseek -> lseek -> lseek,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,lseek -> lseek -> lseek -> no-error -> no-fd,ioctl -> ioctl -> ioctl -> no-error -> no-fd,0
Simpoejson-1.0.0.tar.gz,"ioctl, poll",,uname,,,,"opensnoop-bpfcc, pgrep, pip, systemd-logind, filetop-bpfcc","opensnoop-bpfcc, strace, StreamT~s, StreamT~ns, Indexed~IO","opensnoop-bpfcc, filetop-bpfcc, pip, pgrep, gnome-system-mo","strace, pip, StreamT~s, StreamT~ns, opensnoop-bpfcc","pgrep, gnome-system-mo, pip, strace, StreamT~s",Simpoejson-1.0.0;,,,18,61,2182,1171,613,607,3139,3,123,198,8,0,0,0,newfstatat -> openat -> fstat,ioctl -> ioctl -> ioctl,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,lseek -> lseek -> lseek -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,close -> newfstatat -> newfstatat -> no-error -> no-fd,1
SpyWare-1.0.5.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, pgrep, tcpstates-bpfcc, filetop-bpfcc, pip","opensnoop-bpfcc, strace, StreamT~s, StreamT~ns, Indexed~IO","opensnoop-bpfcc, filetop-bpfcc, pgrep, pip, tcpstates-bpfcc","StreamT~s, strace, StreamT~ns, opensnoop-bpfcc, pip","pgrep, gnome-system-mo, pip, opensnoop-bpfcc, StreamT~s",SpyWare-1.0.5; evdev-1.7.1; mouseinfo-0.1.3; numpy-2.2.1; opencv-python-4.10.0.84; pillow-11.1.0; pyautogui-0.9.54; pygetwindow-0.0.9; pymsgbox-1.0.9; pynput-1.7.7; pyperclip-1.9.0; pyrect-0.2.0; pyscreeze-1.0.1; python-xlib-0.33; python3-Xlib-0.15; pytweening-1.2.0; six-1.17.0;,,evdev>=1.3; mouseinfo; numpy>=1.21.2; opencv-python; pillow; pyautogui; pygetwindow>=0.0.5; pymsgbox; pynput; pyperclip; pyrect; pyscreeze>=0.1.21; python-xlib>=0.17; python3-Xlib; pytweening>=1.0.4; six;,0,51,414,320,127,100,824,2,85,207,24,0,10,57,newfstatat -> newfstatat -> openat,openat -> fstat -> getdents64,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,newfstatat -> newfstatat -> openat -> no-error -> no-fd,openat -> fstat -> getdents64 -> no-error -> no-fd,0
Web-requests-autmoation-3.0.0.tar.gz,ioctl,pipe2,getrandom,clock_gettime,geteuid,"vfork, getpid","opensnoop-bpfcc, tcpstates-bpfcc, pool-org.gnome., filetop-bpfcc, gnome-system-mo","opensnoop-bpfcc, strace, pool-org.gnome., StreamT~ns, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pool-org.gnome., gnome-system-mo, pip","pool-org.gnome., StreamT~ns, strace, opensnoop-bpfcc, sqldb:c~lite","gnome-system-mo, pool-org.gnome., StreamT~ns, pgrep, nautilus",Web-requests-autmoation-3.0.0; certifi-2024.12.14; charset_normalizer-2.1.1; idna-3.10; urllib3-1.26.20;,,"certifi>=2017.4.17; charset_normalizer<3,>=2; idna<4,>=2.5; urllib3<1.27,>=1.21.1;",563,228,5763,2266,1077,675,2695,3,21,183,11,1,0,0,,,,,,,,1
admcheck2-1.7.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","pgrep, opensnoop-bpfcc, tcpstates-bpfcc, systemd-logind, filetop-bpfcc","opensnoop-bpfcc, strace, StreamTrans, StreamT~ns, sqldb:c~lite","opensnoop-bpfcc, filetop-bpfcc, pgrep, pip, gnome-system-mo","strace, StreamTrans, sqldb:c~lite, StreamT~ns, Cache2","pgrep, gnome-system-mo, pip, sqldb:c~lite, strace",admcheck2-1.7.0; certifi-2024.8.30; charset-normalizer-3.4.0; idna-3.10; mouseinfo-0.1.3; pyautogui-0.9.54; pygetwindow-0.0.9; pymsgbox-1.0.9; pyperclip-1.9.0; pyrect-0.2.0; pyscreeze-1.0.1; python3-Xlib-0.15; pytweening-1.2.0; requests-2.32.3; urllib3-2.2.3;,,"certifi>=2017.4.17; charset-normalizer<4,>=2; idna<4,>=2.5; mouseinfo; pyautogui; pygetwindow>=0.0.5; pymsgbox; pyperclip; pyrect; pyscreeze>=0.1.21; python3-Xlib; pytweening>=1.0.4; requests; urllib3<3,>=1.21.1;",4,919,6098,4694,1135,1206,7147,2,15,106,4,1,0,0,newfstatat -> newfstatat -> openat,fstat -> ioctl -> lseek,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,newfstatat -> newfstatat -> openat -> no-error -> no-fd,fstat -> ioctl -> lseek -> no-error -> no-fd,1
advenced-requests-3.0.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, filetop-bpfcc, tcpstates-bpfcc, pgrep, gnome-system-mo","opensnoop-bpfcc, strace, StreamTrans, Cache2, Classif~date","opensnoop-bpfcc, filetop-bpfcc, pip, gnome-system-mo, pgrep","StreamTrans, strace, pip, sqldb:c~lite, Classif~date","gnome-system-mo, pgrep, pip, StreamTrans, sqldb:c~lite",advenced-requests-3.0.0; certifi-2024.8.30; charset_normalizer-2.1.1; idna-3.10; urllib3-1.26.20;,,"certifi>=2017.4.17; charset_normalizer<3,>=2; idna<4,>=2.5; urllib3<1.27,>=1.21.1;",503,234,3794,2786,1214,633,1577,3,16,51,9,11,4,7,read -> poll -> read,poll -> read -> read,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,read -> read -> poll -> no-error -> no-fd,read -> poll -> read -> error=EAGAIN -> no-fd,poll -> read -> read -> no-error -> fd=3,1
advpruebitaa9-1.0.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,,"vfork, wait4, getpid","opensnoop-bpfcc, tcpstates-bpfcc, filetop-bpfcc, pgrep, gnome-system-mo","opensnoop-bpfcc, strace, StreamTrans, Cache2, Classif~date","opensnoop-bpfcc, filetop-bpfcc, pip, gnome-system-mo, tcpstates-bpfcc","StreamTrans, strace, pip, sqldb:c~lite, Classif~date","gnome-system-mo, pip, pgrep, StreamTrans, sqldb:c~lite",advpruebitaa9-1.0.0;,,,330,29,1549,918,621,434,548,2,67,99,23,57,1,56,newfstatat -> newfstatat -> openat,fstat -> ioctl -> lseek,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,newfstatat -> newfstatat -> openat -> no-error -> no-fd,openat -> fstat -> ioctl -> no-error -> no-fd,0
aeodatav04-0.4.tar.gz,"ioctl, poll",,uname,,,"wait4, getpid","opensnoop-bpfcc, pgrep, filetop-bpfcc, tcpstates-bpfcc, gnome-system-mo","strace, opensnoop-bpfcc, StreamTrans, Cache2, StreamT~ns","opensnoop-bpfcc, filetop-bpfcc, pip, gnome-system-mo, pgrep","strace, StreamTrans, pip, pip3, python","gnome-system-mo, pgrep, pip, StreamTrans, pip3",aeodatav04-0.4;,,,0,71,504,516,1216,220,1003,1,6,33,2,0,0,0,openat -> fstat -> ioctl,fstat -> ioctl -> lseek,lseek -> lseek -> lseek -> no-error -> no-fd,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,openat -> fstat -> ioctl -> no-error -> no-fd,fstat -> ioctl -> lseek -> no-error -> no-fd,ioctl -> lseek -> lseek -> error=ENOTTY -> no-fd,1
aidoc-consul-5.2.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, filetop-bpfcc, tcpstates-bpfcc, pgrep, gnome-system-mo","strace, opensnoop-bpfcc, StreamTrans, Classif~date, Cache2","opensnoop-bpfcc, filetop-bpfcc, pip, gnome-system-mo, pgrep","StreamTrans, strace, pip, Classif~date, sqldb:c~lite","gnome-system-mo, pgrep, pip, StreamTrans, clear",aidoc-consul-5.2.0;,,,0,72,862,718,1244,183,4662,2,7,18,2,1,0,0,,,,,,,,1
aidoc-e2e-utils-5.0.3.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, pgrep, tcpstates-bpfcc, filetop-bpfcc, gnome-system-mo","strace, opensnoop-bpfcc, StreamTrans, Cache2, StreamT~ns","opensnoop-bpfcc, filetop-bpfcc, pip, pip3, gnome-system-mo","strace, StreamTrans, pip, pip3, python","gnome-system-mo, pgrep, pip, pip3, StreamTrans",aidoc-e2e-utils-5.0.3;,,,0,73,891,758,1208,173,3496,3,55,63,23,1,0,0,lseek -> lseek -> lseek,ioctl -> ioctl -> ioctl,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,read -> read -> read -> no-error -> no-fd,newfstatat -> openat -> fstat -> no-error -> no-fd,lseek -> lseek -> lseek -> no-error -> no-fd,ioctl -> ioctl -> ioctl -> no-error -> no-fd,1
aio5-0.2.9.tar.gz,"ioctl, poll",pipe2,uname,,,"vfork, wait4, getpid","opensnoop-bpfcc, pgrep, tcpstates-bpfcc, filetop-bpfcc, systemd-logind","strace, opensnoop-bpfcc, StreamT~ns, StreamTrans, pip","opensnoop-bpfcc, filetop-bpfcc, pip, pgrep, gnome-system-mo","strace, pip, StreamT~ns, StreamTrans, opensnoop-bpfcc","pgrep, pip, gnome-system-mo, strace, StreamTrans",SQLAlchemy-2.0.36; aio5-0.2.9; anyio-4.7.0; attrs-24.2.0; beautifulsoup4-4.12.3; certifi-2024.8.30; charset-normalizer-3.4.0; fake-useragent-2.0.1; greenlet-3.1.1; h11-0.14.0; httpcore-1.0.7; httpx-0.28.1; idna-3.10; importlib-resources-6.4.5; lxml-5.3.0; numpy-2.2.0; outcome-1.3.0.post0; packaging-24.2; pandas-2.2.3; pysocks-1.7.1; python-dateutil-2.9.0.post0; python-dotenv-1.0.1; python-telegram-bot-21.9; pytz-2024.2; requests-2.32.3; selenium-4.27.1; six-1.17.0; sniffio-1.3.1; sortedcontainers-2.4.0; soupsieve-2.6; trio-0.27.0; trio-websocket-0.11.1; typing_extensions-4.12.2; tzdata-2024.2; urllib3-2.2.3; webdriver-manager-4.0.2; websocket-client-1.8.0; wsproto-1.2.0;,,"SQLAlchemy; anyio; attrs>=23.2.0; beautifulsoup4; certifi>=2017.4.17; charset-normalizer<4,>=2; fake-useragent; greenlet!=0.4.17; h11<0.15,>=0.13; httpcore==1.*; httpx~=0.27; idna<4,>=2.5; importlib-resources>=6.0; lxml; numpy>=1.26.0; outcome; packaging; pandas; pysocks!=1.5.7,<2.0,>=1.5.6; python-dateutil>=2.8.2; python-dotenv; python-telegram-bot; pytz>=2020.1; requests; selenium; six>=1.5; sniffio>=1.3.0; sortedcontainers; soupsieve>1.2; trio-websocket~=0.9; trio~=0.17; typing_extensions~=4.9; tzdata>=2022.7; urllib3<3,>=1.21.1; webdriver-manager; websocket-client~=1.8; wsproto>=0.14;",0,120,510,324,1203,168,977,2,14,21,8,1,0,0,openat -> fstat -> ioctl,ioctl -> lseek -> lseek,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,fstat -> ioctl -> lseek -> no-error -> no-fd,openat -> fstat -> ioctl -> no-error -> no-fd,newfstatat -> openat -> fstat -> error=ENOENT -> no-fd,ioctl -> lseek -> lseek -> error=ENOTTY -> no-fd,1
aioconsol-1.0.tar.gz,"ioctl, poll",pipe2,"getrandom, uname",,geteuid,"vfork, wait4, getpid","opensnoop-bpfcc, nautilus, gnome-system-mo, filetop-bpfcc, pgrep","StreamT~ns, strace, StreamTrans, opensnoop-bpfcc, speech-dispatch","opensnoop-bpfcc, filetop-bpfcc, gnome-system-mo, pip, nautilus","StreamT~ns, StreamTrans, strace, apt-get, Cache2","gnome-system-mo, StreamT~ns, clear, sqldb:c~lite, StreamTrans",aioconsol-1.0;,,,0,113,964,557,1207,105,238,2,12,170,4,1,0,0,openat -> fstat -> ioctl,fstat -> ioctl -> lseek,lseek -> lseek -> lseek -> no-error -> no-fd,newfstatat -> newfstatat -> newfstatat -> no-error -> no-fd,openat -> fstat -> ioctl -> no-error -> no-fd,fstat -> ioctl -> lseek -> no-error -> no-fd,ioctl -> lseek -> lseek -> error=ENOTTY -> no-fd,1
