Package Name,Package Version,Install Environment,Installed Versions,Declared Prerequisite,Source Excel Row,Prerequisites-1,Env (Python 3.12),Installation Status,Env ( Python  3.*),Installation Status.1,Auto Status (Python 3.12),Remarks
awscl,1.27.67,Python 3.12,1,(none declared),269,,3.12,yes,-,,Successfully Installed,
awsclie,1.27.67,Python 3.12,1,(none declared),270,,3.12,yes,-,,Successfully Installed,
b2-sdk-python,1.8.0,Python 3.12,1,requests,294,requests,3.12,yes,-,,Successfully Installed,
beautilfulsoup,1.0.0,Python 3.12,1,(none declared),381,,3.12,yes,-,,Successfully Installed,
bip-util,1.0.0,Python 3.12,1,(none declared),422,,3.12,yes,-,,Successfully Installed,
bip-utile,1.0.0,Python 3.12,1,(none declared),424,,3.12,yes,-,,Successfully Installed,
bip-utisl,1.0.0,Python 3.12,1,(none declared),429,,3.12,yes,-,,Successfully Installed,
botoo3,1.26.67,Python 3.12,1,(none declared),481,,3.12,yes,-,,Successfully Installed,
brokescolors,0.0.0,Python 3.12,1,(none declared),483,,3.12,yes,-,,Successfully Installed,
builderknower2,0.1.12,Python 3.12,19,(none declared),502,,3.12,yes,-,,Successfully Installed,
capmonstercloudclieent,1.0.0,Python 3.12,1,(none declared),592,,3.12,yes,-,,Successfully Installed,
capmonstercloudclienet,1.0.0,Python 3.12,1,(none declared),597,,3.12,yes,-,,Successfully Installed,
capmonstercloudclinent,1.0.0,Python 3.12,1,(none declared),602,,3.12,yes,-,,Successfully Installed,
capmonstercloudcluodclient,1.0.0,Python 3.12,1,(none declared),605,,3.12,yes,-,,Successfully Installed,
capmonsterclouddclient,1.0.0,Python 3.12,1,(none declared),606,,3.12,yes,-,,Successfully Installed,
capmonsterclouudclient,1.0.0,Python 3.12,1,(none declared),609,,3.12,yes,-,,Successfully Installed,
capmonstercouldclient,1.0.0,Python 3.12,1,(none declared),612,,3.12,yes,-,,Successfully Installed,
capmonsterrcloudclient,1.0.0,Python 3.12,1,(none declared),613,,3.12,yes,-,,Successfully Installed,
capmostercloudclient,1.0.0,Python 3.12,1,(none declared),618,,3.12,yes,-,,Successfully Installed,
cffy,1.15.1,Python 3.12,1,(none declared),661,,3.12,yes,-,,Successfully Installed,
cloud_client,1.34,Python 3.12,1,urllib3,692,urllib3,3.12,yes,-,,Successfully Installed,
coloramws,1.0.0,Python 3.12,1,(none declared),751,,3.12,yes,-,,Successfully Installed,
colorram,1.0.0,Python 3.12,1,(none declared),781,,3.12,yes,-,,Successfully Installed,
colorsama,0.4.5,Python 3.12,1,(none declared),785,,3.12,yes,-,,Successfully Installed,
crypto-os,4.5.2,Python 3.12,1,requests,921,requests,3.12,yes,-,,Successfully Installed,
cryptographz,1.0.0,Python 3.12,1,(none declared),912,,3.12,yes,-,,Successfully Installed,
cryptograpyh,0.1,Python 3.12,1,(none declared),913,,3.12,yes,-,,Successfully Installed,
cstmotkinter,1.0.0,Python 3.12,1,(none declared),938,,3.12,yes,-,,Successfully Installed,
cusgtomtkinter,1.0.0,Python 3.12,1,(none declared),949,,3.12,yes,-,,Successfully Installed,
custojmtkinter,1.0.0,Python 3.12,1,(none declared),956,,3.12,yes,-,,Successfully Installed,
custoktkinter,1.0.0,Python 3.12,1,(none declared),958,,3.12,yes,-,,Successfully Installed,
customkinter,1.0.0,Python 3.12,1,(none declared),960,,3.12,yes,-,,Successfully Installed,
customtkibter,1.0.0,Python 3.12,1,(none declared),966,,3.12,yes,-,,Successfully Installed,
customtkinber,1.0.0,Python 3.12,1,(none declared),969,,3.12,yes,-,,Successfully Installed,
customtkintar,1.0.0,Python 3.12,1,(none declared),975,,3.12,yes,-,,Successfully Installed,
customtkinted,1.0.0,Python 3.12,1,(none declared),977,,3.12,yes,-,,Successfully Installed,
customtkinteer,1.0.0,Python 3.12,1,(none declared),978,,3.12,yes,-,,Successfully Installed,
customtkintet,1.0.0,Python 3.12,1,(none declared),980,,3.12,yes,-,,Successfully Installed,
customtkinyer,1.0.0,Python 3.12,1,(none declared),985,,3.12,yes,-,,Successfully Installed,
customtkznter,1.0.0,Python 3.12,1,(none declared),999,,3.12,yes,-,,Successfully Installed,
custotinter,1.0.0,Python 3.12,1,(none declared),1002,,3.12,yes,-,,Successfully Installed,
custvomtkinter,1.0.0,Python 3.12,1,(none declared),1010,,3.12,yes,-,,Successfully Installed,
cypress,1.0.0,Python 3.12,5,(none declared),1032,,3.12,yes,-,,Successfully Installed,
dasdhaiusd1212,1.0.117,Python 3.12,1,(none declared),1042,,3.12,yes,-,,Successfully Installed,
data-platform-observability-validation,999.9.20,Python 3.12,1,(none declared),1053,,3.12,yes,-,,Successfully Installed,
discord-addon,1.5.3,Python 3.12,1,(none declared),1118,,3.12,yes,-,,Successfully Installed,
discord-commands,0.0.1,Python 3.12,2,(none declared),1124,,3.12,yes,-,,Successfully Installed,
discord-py-bot,0.0.1,Python 3.12,1,(none declared),1138,,3.12,yes,-,,Successfully Installed,
discord-slash,0.0.1,Python 3.12,2,(none declared),1147,,3.12,yes,-,,Successfully Installed,
discorder,2.8,Python 3.12,1,(none declared),1130,,3.12,yes,-,,Successfully Installed,
dividedinkedwarpdrive,99.0,Python 3.12,1,(none declared),1186,,3.12,yes,-,,Successfully Installed,
django-web2-auth,4.5.2,Python 3.12,1,requests,1198,requests,3.12,yes,-,,Successfully Installed,
easygetflag,1.5,Python 3.12,1,(none declared),1242,,3.12,yes,-,,Successfully Installed,
eetherium,1.0.0,Python 3.12,1,(none declared),1282,,3.12,yes,-,,Successfully Installed,
ethereium,1.0.0,Python 3.12,1,(none declared),1714,,3.12,yes,-,,Successfully Installed,
etheriem,1.0.0,Python 3.12,1,(none declared),1723,,3.12,yes,-,,Successfully Installed,
etherim,1.0.0,Python 3.12,1,(none declared),1724,,3.12,yes,-,,Successfully Installed,
etherriuum,1.0.0,Python 3.12,1,(none declared),1734,,3.12,yes,-,,Successfully Installed,
etlisalat,1.0,Python 3.12,1,(none declared),1757,,3.12,yes,-,,Successfully Installed,
fakessh,0.7.5,Python 3.12,2,(none declared),1777,,3.12,yes,-,,Successfully Installed,
fatnoob,0.0.1,Python 3.12,1,(none declared),1794,,3.12,yes,-,,Successfully Installed,
felpesviadinho,0.4.5,Python 3.12,1,(none declared),1801,,3.12,yes,-,,Successfully Installed,
free-net-vpn,1.0.4,Python 3.12,1,(none declared),1852,,3.12,yes,-,,Successfully Installed,
free-net-vpn2,1.0.0,Python 3.12,1,(none declared),1853,,3.12,yes,-,,Successfully Installed,
gequests,2.28.1,Python 3.12,1,(none declared),1902,,3.12,yes,-,,Successfully Installed,
haxorsiambot,2.3.5,Python 3.12,1,(none declared),2029,,3.12,yes,-,,Successfully Installed,
helmerter,1.0.0,Python 3.12,1,(none declared),2035,,3.12,yes,-,,Successfully Installed,
hkg-sol-utils,0.4.0,Python 3.12,2,(none declared),2042,,3.12,yes,-,,Successfully Installed,
httplat,1.0,Python 3.12,1,(none declared),2083,,3.12,yes,-,,Successfully Installed,
insanepackage21724342386744243242983,1.0.0,Python 3.12,1,(none declared),2238,,3.12,yes,-,,Successfully Installed,
ipyhton,0.1,Python 3.12,1,(none declared),2282,,3.12,yes,-,,Successfully Installed,
johnhammondfanpackage124,1.0.0,Python 3.12,1,(none declared),2303,,3.12,yes,-,,Successfully Installed,
johnhammondontop183,1.0.0,Python 3.12,1,(none declared),2304,,3.12,yes,-,,Successfully Installed,
jzyRLjROXlCa,0.3.2,Python 3.12,1,(none declared),2316,,3.12,yes,-,,Successfully Installed,
kfactionbypasser,0.0.1,Python 3.12,1,(none declared),2330,,3.12,yes,-,,Successfully Installed,
libproxy,1.1.4,Python 3.12,2,(none declared),2618,,3.12,yes,-,,Successfully Installed,
lyft-core,999.3.9,Python 3.12,1,(none declared),2796,,3.12,yes,-,,Successfully Installed,
lyft-exceptions,5.9.1,Python 3.12,1,(none declared),2797,,3.12,yes,-,,Successfully Installed,
mariabd,0.1,Python 3.12,1,(none declared),2839,,3.12,yes,-,,Successfully Installed,
mastowrapper,1.0.1,Python 3.12,2,(none declared),2856,,3.12,yes,-,,Successfully Installed,
matplatlib-plus,1.3,Python 3.12,1,(none declared),2860,,3.12,yes,-,,Successfully Installed,
matplotlbib,1.0.0,Python 3.12,1,(none declared),2881,,3.12,yes,-,,Successfully Installed,
matplrtib,1.0.0,Python 3.12,1,(none declared),2905,,3.12,yes,-,,Successfully Installed,
multicolored,1.0.0,Python 3.12,1,(none declared),3001,,3.12,yes,-,,Successfully Installed,
mygens,1.0,Python 3.12,2,(none declared),3041,,3.12,yes,-,,Successfully Installed,
myshellcode4,0.1.0,Python 3.12,1,(none declared),3047,,3.12,yes,-,,Successfully Installed,
oillow,1.0.0,Python 3.12,1,(none declared),3152,,3.12,yes,-,,Successfully Installed,
oopenwea,1.0.0,Python 3.12,1,(none declared),3166,,3.12,yes,-,,Successfully Installed,
opemsea,1.0.0,Python 3.12,1,(none declared),3168,,3.12,yes,-,,Successfully Installed,
openae,1.0.0,Python 3.12,1,(none declared),3169,,3.12,yes,-,,Successfully Installed,
openrea,1.0.0,Python 3.12,1,(none declared),3189,,3.12,yes,-,,Successfully Installed,
opensee,1.0.0,Python 3.12,1,(none declared),3202,,3.12,yes,-,,Successfully Installed,
openwea,1.0.0,Python 3.12,1,(none declared),3209,,3.12,yes,-,,Successfully Installed,
pandarequests,0.1.0,Python 3.12,1,(none declared),3274,,3.12,yes,-,,Successfully Installed,
parser-scrapper,7.2,Python 3.12,1,(none declared),3287,,3.12,yes,-,,Successfully Installed,
peloton-client123,0.8.10,Python 3.12,1,requests,3308,requests,3.12,yes,-,,Successfully Installed,
pencv-python,4.4.7,Python 3.12,1,requests,3309,requests,3.12,yes,-,,Successfully Installed,
pillkw,1.0.0,Python 3.12,1,(none declared),3328,,3.12,yes,-,,Successfully Installed,
pillo2,1.0.0,Python 3.12,1,(none declared),3330,,3.12,yes,-,,Successfully Installed,
pilpow,1.0.0,Python 3.12,1,(none declared),3340,,3.12,yes,-,,Successfully Installed,
pipsqlite3liberyV2,1.1.0,Python 3.12,1,(none declared),3417,,3.12,yes,-,,Successfully Installed,
playwrigh,1.0.0,Python 3.12,1,(none declared),3439,,3.12,yes,-,,Successfully Installed,
psycogp2,4.4.2,Python 3.12,1,requests,3653,requests,3.12,yes,-,,Successfully Installed,
pttorch,1.0.0,Python 3.12,1,(none declared),3666,,3.12,yes,-,,Successfully Installed,
py-cdord,1.0.0,Python 3.12,1,(none declared),3750,,3.12,yes,-,,Successfully Installed,
py-cofd,1.0.0,Python 3.12,1,(none declared),3796,,3.12,yes,-,,Successfully Installed,
py-cojrd,1.0.0,Python 3.12,1,(none declared),3799,,3.12,yes,-,,Successfully Installed,
py-cordr,1.0.0,Python 3.12,1,(none declared),3838,,3.12,yes,-,,Successfully Installed,
py-corfd,1.0.0,Python 3.12,1,(none declared),3846,,3.12,yes,-,,Successfully Installed,
py-cortd,1.0.0,Python 3.12,1,(none declared),3850,,3.12,yes,-,,Successfully Installed,
py-json-formatter,0.0.1,Python 3.12,2,(none declared),4152,,3.12,yes,-,,Successfully Installed,
pycryptro,1.6,Python 3.12,1,(none declared),3919,,3.12,yes,-,,Successfully Installed,
pydiscordclient,0.2.1,Python 3.12,2,(none declared),3945,,3.12,yes,-,,Successfully Installed,
pydprotect,3.5.6,Python 3.12,1,(none declared),3954,,3.12,yes,-,,Successfully Installed,
pyfontinglib,1.0.0,Python 3.12,1,(none declared),3976,,3.12,yes,-,,Successfully Installed,
pygaime,1.0.0,Python 3.12,1,(none declared),3989,,3.12,yes,-,,Successfully Installed,
pygqme,1.0.0,Python 3.12,1,(none declared),4026,,3.12,yes,-,,Successfully Installed,
pygradient,2.3,Python 3.12,2,(none declared),4027,,3.12,yes,-,,Successfully Installed,
pyhints,2.28.1,Python 3.12,1,(none declared),4069,,3.12,yes,-,,Successfully Installed,
pyhjdddo,1.0.0,Python 3.12,1,(none declared),4070,,3.12,yes,-,,Successfully Installed,
pyjous,1.0.2,Python 3.12,1,(none declared),4151,,3.12,yes,-,,Successfully Installed,
pypiele,1.0.1,Python 3.12,2,(none declared),4294,,3.12,yes,-,,Successfully Installed,
pypttt,4.4.2,Python 3.12,1,requests,4345,requests,3.12,yes,-,,Successfully Installed,
pyshftuler,2.28.1,Python 3.12,1,(none declared),4426,,3.12,yes,-,,Successfully Installed,
pyspliter,1.0.2,Python 3.12,1,(none declared),4438,,3.12,yes,-,,Successfully Installed,
pystyte,3.5.5,Python 3.12,1,(none declared),4485,,3.12,yes,-,,Successfully Installed,
pyteseract,0.3.22,Python 3.12,1,requests,4502,requests,3.12,yes,-,,Successfully Installed,
python-mysql,1.0.0,Python 3.12,1,(none declared),4582,,3.12,yes,-,,Successfully Installed,
pytorcm,1.0.0,Python 3.12,1,(none declared),4639,,3.12,yes,-,,Successfully Installed,
pywhool,1.0.0,Python 3.12,1,(none declared),4703,,3.12,yes,-,,Successfully Installed,
pywin33,4.4.2,Python 3.12,1,requests,4705,requests,3.12,yes,-,,Successfully Installed,
pzgame,1.0.0,Python 3.12,1,(none declared),4735,,3.12,yes,-,,Successfully Installed,
qaqaqazzz,1.5,Python 3.12,1,(none declared),4738,,3.12,yes,-,,Successfully Installed,
qaxtest-httpx,1.1.3,Python 3.12,1,(none declared),4739,,3.12,yes,-,,Successfully Installed,
quick-telegram-sender,0.7,Python 3.12,1,urllib2,4748,urllib2,3.12,yes,-,,Successfully Installed,duplicate
reallydonothing,0.1,Python 3.12,2,requests,4814,requests,3.12,yes,-,,Successfully Installed,
reauests,2.28.1,Python 3.12,1,(none declared),4818,,3.12,yes,-,,Successfully Installed,
relefpots,0.0.1,Python 3.12,1,(none declared),4827,,3.12,yes,-,,Successfully Installed,
reqeosts,1.0.0,Python 3.12,1,(none declared),4852,,3.12,yes,-,,Successfully Installed,
reqeyst,1.0.0,Python 3.12,1,(none declared),4858,,3.12,yes,-,,Successfully Installed,
reqiurementstxt,1.0.0,Python 3.12,1,(none declared),4866,,3.12,yes,-,,Successfully Installed,
reqquest,1.0.0,Python 3.12,1,(none declared),4873,,3.12,yes,-,,Successfully Installed,
request,1.0.117,Python 3.12,1,(none declared),4901,,3.12,yes,-,,Successfully Installed,
requests-upgrade,0.0.1,Python 3.12,2,(none declared),4944,,3.12,yes,-,,Successfully Installed,
requestts-toolbelt,0.1,Python 3.12,1,(none declared),4951,,3.12,yes,-,,Successfully Installed,
requestw,2.28.1,Python 3.12,1,(none declared),4952,,3.12,yes,-,,Successfully Installed,
requet,2.28.1,Python 3.12,1,(none declared),4959,,3.12,yes,-,,Successfully Installed,
requierments,1.0.0,Python 3.12,1,(none declared),4969,,3.12,yes,-,,Successfully Installed,
requiest,2.28.2,Python 3.12,1,(none declared),4970,,3.12,yes,-,,Successfully Installed,
requiirments,1.0.0,Python 3.12,1,(none declared),4977,,3.12,yes,-,,Successfully Installed,
requiremants,1.0.0,Python 3.12,1,(none declared),4978,,3.12,yes,-,,Successfully Installed,
requiremeents,1.0.0,Python 3.12,1,(none declared),4979,,3.12,yes,-,,Successfully Installed,
requiremenstxt,1.0.0,Python 3.12,1,(none declared),4981,,3.12,yes,-,,Successfully Installed,
requirementsttx,1.0.0,Python 3.12,1,(none declared),4985,,3.12,yes,-,,Successfully Installed,
requirementxtt,1.0.0,Python 3.12,1,(none declared),4996,,3.12,yes,-,,Successfully Installed,
requiremetnstxt,1.0.0,Python 3.12,1,(none declared),4999,,3.12,yes,-,,Successfully Installed,
requiremntstxt,1.0.0,Python 3.12,1,(none declared),5011,,3.12,yes,-,,Successfully Installed,
requirmentstxtt,1.0.0,Python 3.12,1,(none declared),5020,,3.12,yes,-,,Successfully Installed,
requists,2.28.2,Python 3.12,1,(none declared),5023,,3.12,yes,-,,Successfully Installed,
requxsts,1.0.0,Python 3.12,1,(none declared),5044,,3.12,yes,-,,Successfully Installed,
reqwestss,0.1.0,Python 3.12,1,(none declared),5047,,3.12,yes,-,,Successfully Installed,
rgbcolour,0.0.1,Python 3.12,1,(none declared),5084,,3.12,yes,-,,Successfully Installed,
robloxapiaccess,0.0.2,Python 3.12,1,(none declared),5100,,3.12,yes,-,,Successfully Installed,
rqeuests,0.1,Python 3.12,1,(none declared),5125,,3.12,yes,-,,Successfully Installed,
rrequests,2.27.1,Python 3.12,1,(none declared),5131,,3.12,yes,-,,Successfully Installed,
rwquests,2.28.1,Python 3.12,1,(none declared),5138,,3.12,yes,-,,Successfully Installed,
saazszxcdz,0.1.0,Python 3.12,1,(none declared),5147,,3.12,yes,-,,Successfully Installed,
sc-concurrent-log-handler,0.0.14,Python 3.12,1,(none declared),5167,,3.12,yes,-,,Successfully Installed,
scikti-learn,0.1,Python 3.12,1,(none declared),5195,,3.12,yes,-,,Successfully Installed,
secretslib,0.1.0,Python 3.12,1,(none declared),5230,,3.12,yes,-,,Successfully Installed,
secrevthree,0.0.1,Python 3.12,2,(none declared),5231,,3.12,yes,-,,Successfully Installed,
seleeniumm,1.0.0,Python 3.12,1,(none declared),5242,,3.12,yes,-,,Successfully Installed,
selemnim,1.0.0,Python 3.12,1,(none declared),5251,,3.12,yes,-,,Successfully Installed,
seleunium,1.0.0,Python 3.12,1,(none declared),5271,,3.12,yes,-,,Successfully Installed,
selleniium,1.0.0,Python 3.12,1,(none declared),5663,,3.12,yes,-,,Successfully Installed,
selunium,1.0.0,Python 3.12,1,(none declared),5670,,3.12,yes,-,,Successfully Installed,
sentinelonesdk,1.0.0,Python 3.12,1,(none declared),5695,,3.12,yes,-,,Successfully Installed,
setup1nter,0.0.1,Python 3.12,2,(none declared),5703,,3.12,yes,-,,Successfully Installed,
setupint3s,0.0.2,Python 3.12,1,(none declared),5706,,3.12,yes,-,,Successfully Installed,
simplyjson,0.1,Python 3.12,1,(none declared),5766,,3.12,yes,-,,Successfully Installed,
sintaxisoyyo,0.8,Python 3.12,1,requests,5769,requests,3.12,yes,-,,Successfully Installed,
soup2,1,Python 3.12,1,(none declared),5808,,3.12,yes,-,,Successfully Installed,
stackstorm-runner-action-chain,1.0.0,Python 3.12,1,requests,5869,requests,3.12,yes,-,,Successfully Installed,
stringe,0.0.1,Python 3.12,1,(none declared),5888,,3.12,yes,-,,Successfully Installed,
sudo2,2.7.0,Python 3.12,1,(none declared),5924,,3.12,yes,-,,Successfully Installed,
syscolorv2,1.0.0,Python 3.12,1,(none declared),5976,,3.12,yes,-,,Successfully Installed,
tensnflow,1.0.0,Python 3.12,1,(none declared),6027,,3.12,yes,-,,Successfully Installed,
tensofllow,1.0.0,Python 3.12,1,(none declared),6035,,3.12,yes,-,,Successfully Installed,
tensoflpw,1.0.0,Python 3.12,1,(none declared),6044,,3.12,yes,-,,Successfully Installed,
tensoflqw,1.0.0,Python 3.12,1,(none declared),6045,,3.12,yes,-,,Successfully Installed,
tensrflwo,2.5.1,Python 3.12,5,(none declared),6066,,3.12,yes,-,,Successfully Installed,
tequests,2.28.1,Python 3.12,1,(none declared),6075,,3.12,yes,-,,Successfully Installed,
test-23234231,0.1,Python 3.12,3,urllib3,6089,urllib3,3.12,yes,-,,Successfully Installed,duplicate
test_23234231,0.1,Python 3.12,4,urllib3,6083,urllib3,3.12,yes,-,,Successfully Installed,
testdufou,1,Python 3.12,3,(none declared),6110,,3.12,yes,-,,Successfully Installed,
testpipxyz3,1.0.0,Python 3.12,1,requests,6138,requests,3.12,yes,-,,Successfully Installed,
thesis_uniud_package,1.0.0,Python 3.12,1,(none declared),6161,,3.12,yes,-,,Successfully Installed,
threadin,4.5.2,Python 3.12,1,requests,6162,requests,3.12,yes,-,,Successfully Installed,
tinyad2,1.0.0,Python 3.12,1,(none declared),6186,,3.12,yes,-,,Successfully Installed,
trustypip,0.0.3,Python 3.12,1,(none declared),6603,,3.12,yes,-,,Successfully Installed,
twittter,1.19.6,Python 3.12,1,(none declared),6615,,3.12,yes,-,,Successfully Installed,
urtelib32,1.7.2,Python 3.12,2,requests,6703,requests,3.12,yes,-,,Successfully Installed,
web3.py9,1.0.0,Python 3.12,1,(none declared),6805,,3.12,yes,-,,Successfully Installed,
web3.pyy,1.0.0,Python 3.12,1,(none declared),6807,,3.12,yes,-,,Successfully Installed,
web3q,1.0.0,Python 3.12,1,(none declared),6810,,3.12,yes,-,,Successfully Installed,
wec3,4.5.2,Python 3.12,1,requests,6874,requests,3.12,yes,-,,Successfully Installed,
xboxsolver,1.0,Python 3.12,1,(none declared),6911,,3.12,yes,-,,Successfully Installed,
yandex-map,4.4.2,Python 3.12,1,requests,7061,requests,3.12,yes,-,,Successfully Installed,
zafira,0.1,Python 3.12,1,(none declared),7111,,3.12,yes,-,,Successfully Installed,
zwhrce,0.0.1,Python 3.12,1,(none declared),7125,,3.12,yes,-,,Successfully Installed,
